Symbol,Company,Sectors,nb_matched_measures,raw_score,normalized_score,Weight
HSY,Hershey Company (The),['Industrials'],1,1,1.0,"0,0006"
HUBB,Hubbell Incorporated,"['Technology', 'Industrials']",9,-3,-0.333,"0,0004"
HUM,Humana,['Healthcare'],2,0,0.0,"0,0006"
HWM,Howmet Aerospace,['Industrials'],1,1,1.0,"0,0012"
IBM,IBM,['Technology'],8,-4,-0.5,"0,0038"
ICE,Intercontinental Exchange,['Finance'],3,-3,-1.0,"0,0018"
IDXX,Idexx Laboratories,['Healthcare'],2,0,0.0,"0,0009"
IEX,IDEX Corporation,['Industrials'],1,1,1.0,"0,0002"
IFF,International Flavors & Fragrances,['Industrials'],1,1,1.0,"0,0003"
INCY,Incyte,['Healthcare'],2,0,0.0,"0,0003"
INTC,Intel,['Technology'],8,-4,-0.5,"0,0017"
INTU,Intuit,['Technology'],8,-4,-0.5,"0,0034"
INVH,Invitation Homes,['Finance'],3,-3,-1.0,"0,0003"
IP,International Paper,['Industrials'],1,1,1.0,"0,0004"
IPG,Interpublic Group of Companies (The),['Technology'],8,-4,-0.5,"0,0002"
IQV,IQVIA,"['Technology', 'Healthcare']",9,-3,-0.333,"0,0006"
IR,Ingersoll Rand,['Technology'],8,-4,-0.5,"0,0005"
IRM,Iron Mountain,"['Public Services', 'Industrials']",5,-1,-0.2,"0,0005"
ISRG,Intuitive Surgical,"['Technology', 'Healthcare']",9,-3,-0.333,"0,0029"
IT,Gartner,['Technology'],8,-4,-0.5,"0,0003"
ITW,Illinois Tool Works,['Industrials'],1,1,1.0,"0,0013"
IVZ,Invesco,['Finance'],3,-3,-1.0,"0,0002"
J,Jacobs Solutions,['Industrials'],1,1,1.0,"0,0003"
JBHT,"J,B, Hunt",['Industrials'],1,1,1.0,"0,0002"
JBL,Jabil,['Technology'],8,-4,-0.5,"0,0004"
JCI,Johnson Controls,['Industrials'],1,1,1.0,"0,0012"
JKHY,Jack Henry & Associates,['Technology'],8,-4,-0.5,"0,0002"
JNJ,Johnson & Johnson,['Healthcare'],2,0,0.0,"0,0073"
JPM,JPMorgan Chase,['Finance'],3,-3,-1.0,"0,0139"
K,Kellanova,['Technology'],8,-4,-0.5,"0,0005"
KDP,Keurig Dr Pepper,['Public Services'],4,-2,-0.5,"0,0008"
KEY,KeyCorp,['Finance'],3,-3,-1.0,"0,0003"
KEYS,Keysight Technologies,['Technology'],8,-4,-0.5,"0,0005"
KHC,Kraft Heinz,['Industrials'],1,1,1.0,"0,0006"
KIM,Kimco Realty,"['Public Services', 'Finance']",5,-3,-0.6,"0,0002"
KKR,KKR,['Finance'],3,-3,-1.0,"0,0022"
KLAC,KLA Corporation,['Technology'],8,-4,-0.5,"0,0022"
KMB,Kimberly-Clark,['Industrials'],1,1,1.0,"0,0008"
KMI,Kinder Morgan,['Energy'],1,1,1.0,"0,001"
KMX,CarMax,['Industrials'],1,1,1.0,"0,0001"
KO,Coca-Cola Company (The),['Public Services'],4,-2,-0.5,"0,0052"
KR,Kroger,['Industrials'],1,1,1.0,"0,0008"
KVUE,Kenvue,['Public Services'],4,-2,-0.5,"0,0007"
L,Loews Corporation,['Technology'],8,-4,-0.5,"0,0003"
LDOS,Leidos,['Industrials'],1,1,1.0,"0,0004"
LEN,Lennar,['Industrials'],1,1,1.0,"0,0006"
LH,LabCorp,['Healthcare'],2,0,0.0,"0,0004"
LHX,L3Harris,['Technology'],8,-4,-0.5,"0,0009"
LII,Lennox International,['Industrials'],1,1,1.0,"0,0004"
LIN,Linde plc,['Technology'],8,-4,-0.5,"0,0039"
LKQ,LKQ Corporation,['Industrials'],1,1,1.0,"0,0001"
LLY,Lilly (Eli),['Healthcare'],2,0,0.0,"0,0106"
LMT,Lockheed Martin,['Industrials'],1,1,1.0,"0,0018"
LNT,Alliant Energy,['Public Services'],4,-2,-0.5,"0,0003"
LOW,Lowe's,"['Public Services', 'Industrials']",5,-1,-0.2,"0,0024"
LRCX,Lam Research,"['Technology', 'Industrials']",9,-3,-0.333,"0,0023"
LULU,Lululemon Athletica,['Industrials'],1,1,1.0,"0,0004"
LUV,Southwest Airlines,['Industrials'],1,1,1.0,"0,0003"
